,Close
2019-12-02,15.51
2019-12-03,15.49
2019-12-04,15.43
2019-12-05,15.64
2019-12-06,15.86
2019-12-07,15.89
2019-12-08,15.85
2019-12-09,15.94
2019-12-10,15.83
2019-12-11,15.3
2019-12-12,15.28
2019-12-13,15.32
2019-12-14,15.32
2019-12-15,15.31
2019-12-16,15.38
2019-12-17,12.4
2019-12-18,13.63
2019-12-19,13.34
2019-12-20,13.52
2019-12-21,15.58
2019-12-22,13.8
2019-12-23,13.31
2019-12-24,13.35
2019-12-25,12.89
2019-12-26,13.15
2019-12-27,13.3
2019-12-28,15.39
2019-12-29,15.35
2019-12-30,13.83
2019-12-31,13.7
2020-01-01,13.68
2020-01-02,13.0
2020-01-03,13.65
2020-01-04,13.8
2020-01-05,14.04
2020-01-06,14.96
2020-01-07,15.04
2020-01-08,14.52
2020-01-09,14.35
2020-01-10,15.06
2020-01-11,14.93
2020-01-12,15.33
2020-01-13,15.18
2020-01-14,16.63
2020-01-15,17.62
2020-01-16,17.04
2020-01-17,18.04
2020-01-18,17.78
2020-01-19,17.39
2020-01-20,17.29
2020-01-21,18.08
2020-01-22,17.8
2020-01-23,17.03
2020-01-24,17.07
2020-01-25,16.51
2020-01-26,17.48
2020-01-27,17.65
2020-01-28,18.1
2020-01-29,17.87
2020-01-30,18.55
2020-01-31,18.25
2020-02-01,18.24
2020-02-02,18.44
2020-02-03,18.44
2020-02-04,18.13
2020-02-05,19.26
2020-02-06,20.63
2020-02-07,22.04
2020-02-08,21.79
2020-02-09,24.35
2020-02-10,25.13
2020-02-11,25.81
2020-02-12,26.48
2020-02-13,25.46
2020-02-14,26.42
2020-02-15,24.25
2020-02-16,23.36
2020-02-17,23.48
2020-02-18,24.1
2020-02-19,22.37
2020-02-20,22.19
2020-02-21,22.21
2020-02-22,22.01
2020-02-23,22.94
2020-02-24,22.08
2020-02-25,20.33
2020-02-26,18.75
2020-02-27,19.17
2020-02-28,19.08
2020-02-29,19.29
2020-03-01,18.97
2020-03-02,19.94
2020-03-03,19.68
2020-03-04,20.0
2020-03-05,20.8
2020-03-06,21.43
2020-03-07,20.3
2020-03-08,16.94
2020-03-09,16.64
2020-03-10,16.86
2020-03-11,16.59
2020-03-12,9.416
2020-03-13,11.05
2020-03-14,10.16
2020-03-15,10.37
2020-03-16,9.459
2020-03-17,10.28
2020-03-18,10.43
2020-03-19,12.3
2020-03-20,11.91
2020-03-21,12.11
2020-03-22,11.18
2020-03-23,12.25
2020-03-24,12.46
2020-03-25,12.34
2020-03-26,13.25
2020-03-27,12.39
2020-03-28,12.21
2020-03-29,11.31
2020-03-30,12.17
2020-03-31,12.55
2020-04-01,12.79
2020-04-02,13.03
2020-04-03,13.39
2020-04-04,13.76
2020-04-05,13.69
2020-04-06,15.22
2020-04-07,14.72
2020-04-08,15.12
2020-04-09,15.03
2020-04-10,13.74
2020-04-11,13.85
2020-04-12,14.3
2020-04-13,15.06
2020-04-14,15.63
2020-04-15,14.58
2020-04-16,15.74
2020-04-17,15.67
2020-04-18,16.65
2020-04-19,16.08
2020-04-20,14.98
2020-04-21,15.12
2020-04-22,15.76
2020-04-23,16.06
2020-04-24,15.95
2020-04-25,16.24
2020-04-26,16.41
2020-04-27,16.41
2020-04-28,16.35
2020-04-29,17.4
2020-04-30,17.0
2020-05-01,17.44
2020-05-02,17.55
2020-05-03,17.12
2020-05-04,17.03
2020-05-05,16.91
2020-05-06,16.38
2020-05-07,17.03
2020-05-08,17.16
2020-05-09,16.81
2020-05-10,15.34
2020-05-11,15.09
2020-05-12,15.78
2020-05-13,16.21
2020-05-14,16.37
